Temperature (°C),"Magnus (610.5, 17.27, 237.3), PSY74","Magnus (611.2, 17.62, 242.2), SON90","Magnus (611.2, 17.67, 243.5), NOAA","Alternative magnus, weather.gov","Arden Buck (611.21, 18.678, 257.14, 234.5), Wiki",Arden Buck dual,ČSN EN ISO 13788
27.0,3554.101045350474,3578.362216967923,3565.8511785093815,3566.284710080404,3566.5361710294073,3565.709716349298,3563.225000724328
27.5,3659.5539373528227,3685.0895975784133,3672.0501852869047,3672.2389978147035,3672.5931252003084,3671.7188981142103,3669.0859698195263
28.0,3767.7210534151163,3794.5874443480125,3781.0033119696427,3780.9239193595936,3781.3869585959383,3780.4629510173027,3777.675096406311
28.5,3878.6608671045105,3906.916260265788,3892.7706939651152,3892.3983741216193,3892.976658077652,3892.0008077630864,3889.0512246299722
29.0,3992.432841688016,4022.137596150326,4007.413509420403,4006.7222595412795,4007.4221991773666,4006.3923892685516,4003.274195692344
29.5,4109.097441524871,4140.3140632861005,4124.993991855805,4123.956482591433,4124.784556851468,4123.698615452461,4120.404859338193
30.0,4228.716143504497,4261.509346122367,4245.575442862657,4244.162971321691,4245.12571625229,4243.9814160441965,4240.505085387517
30.5,4351.351448529141,4385.78821503373,4369.222244864461,4367.404686447836,4368.508683515659,4367.303741410598,4363.6377753128345
31.0,4477.066893040261,4513.216539141467,4495.999873940454,4493.745632985355,4494.99749656293,4493.729573399391,4489.866873860502
31.5,4605.927060587734,4643.86129919478,4625.97491271078,4623.25087192611,4624.657235915988,4623.3239361975875,4619.25738071513
32.0,4737.997593440904,4777.790600511002,4759.215063282393,4755.986531957208,4757.5540355236,4756.152907203439,4751.875362206138
32.5,4873.345204240578,4915.073685973906,4895.78916025477,4892.019821221091,4893.755093597584,4892.283627910319,4887.787963055462
33.0,5012.037687690925,5055.78094908917,5035.767183784573,5031.419039115868,5033.328683457178,5031.784314801058,5027.063418165481
33.5,5154.143932290397,5199.983947096024,5179.22027270835,5174.2535881349295,5176.344164379999,5174.724270251126,5169.771064446123
34.0,5299.733932100612,5347.755414134223,5326.220737722338,5320.59398574481,5322.871992457995,5321.173893439134,5315.981352680205
34.5,5448.878798552269,5499.1692744653055,5476.842074618435,5470.511876300342,5472.983731456752,5471.20469126304,5465.765859426005
35.0,5601.650772287072,5654.300655747214,5631.158977575453,5624.080042996067,5626.752063676547,5624.889289260513,5619.19729895603
35.5,5758.123235034682,5813.225902361289,5789.247352504628,5781.372419852899,5784.250800813434,5782.301442531834,5776.349535230984
36.0,5918.370721523652,5976.022588790668,5951.184330448488,5942.464103739022,5945.554894818832,5943.51604666373,5937.297593907942
36.5,6082.468931425403,6142.769533049077,6117.04828103207,6107.431366423984,6110.74044875581,6108.609148652534,6102.11767438165
37.0,6250.494741330116,6313.546810159002,6286.9188259655575,6276.351666664968,6279.884727650507,6277.65795782507,6270.887161857963
37.5,6422.526216753622,6488.435765678255,6460.876852597275,6449.30366232417,6453.06616933696,6450.740856755581,6443.684639458349
38.0,6598.6426241741565,6667.519029273916,6639.004527516111,6626.3672225162745,6630.364395293683,6627.937412177097,6620.589900354431
38.5,6778.924443098024,6850.880528342539,6821.3853102023495,6807.623439784952,6811.860221470219,6809.328385885636,6801.683959931526
39.0,6963.453378153054,7038.605501675728,7008.103966725841,6993.154642307295,6997.635669102128,6994.995745635495,6987.04906798007
39.5,7152.312371208864,7230.780513169879,7199.246583490569,7183.044406125192,7187.773975512536,7185.022676024065,7176.768720913932
40.0,7345.585613522804,7427.493465579153,7394.900581024528,7377.377567402509,7382.359604898609,7379.493589364424,7370.9276740145015
